Date,Close
5/6/2016,101.96
5/9/2016,102.61
5/10/2016,104.82
5/11/2016,98.44
5/12/2016,101.38
5/13/2016,99.79
5/16/2016,100.82
5/17/2016,100.61
5/18/2016,101.53
5/19/2016,99.61
5/20/2016,100.61
5/23/2016,99.55
5/24/2016,100.64
5/25/2016,102.62
5/26/2016,102.27
5/27/2016,100.59
5/31/2016,103.41
6/1/2016,103.33
6/2/2016,103.82
6/3/2016,103.5
6/6/2016,105.54
6/7/2016,105.49
6/8/2016,105.65
6/9/2016,104.5
6/10/2016,103.2
6/13/2016,101.69
6/14/2016,101.08
6/15/2016,102.48
6/16/2016,101.99
6/17/2016,103.24
6/20/2016,105.8
6/21/2016,107.12
6/22/2016,106.5
6/23/2016,109.95
6/24/2016,103.96
6/27/2016,100.26
6/28/2016,99.85
6/29/2016,101.52
6/30/2016,99.99
7/1/2016,99.64
7/5/2016,99.18
7/6/2016,99.78
7/7/2016,100.59
7/8/2016,102.07
7/11/2016,105.66
7/12/2016,106.54
7/13/2016,107.86
7/14/2016,107.98
7/15/2016,108.82
7/18/2016,109.01
7/19/2016,108.56
7/20/2016,109.3
7/21/2016,108.86
7/22/2016,109.68
7/25/2016,109.68
7/26/2016,109.6
7/27/2016,110.57
7/28/2016,110.76
7/29/2016,111.6
8/1/2016,111.23
8/2/2016,109.97
8/3/2016,110.07
8/4/2016,112.31
8/5/2016,115.96
8/8/2016,117.41
8/9/2016,117.42
8/10/2016,116.95
8/11/2016,117.77
8/12/2016,117.79
8/15/2016,117.58
8/16/2016,117.28
8/17/2016,119.2
8/18/2016,118.94
8/19/2016,119.62
8/22/2016,120.58
8/23/2016,119.8
8/24/2016,120.9
8/25/2016,120.29
8/26/2016,118.62
8/29/2016,120.34
8/30/2016,121.24
8/31/2016,120.63
9/1/2016,121.02
9/2/2016,122.08
9/6/2016,120.67
9/7/2016,120.74
9/8/2016,121.01
9/9/2016,118.66
9/12/2016,120.35
9/13/2016,118.81
